ID,Box,Year,Sex,Date,Population,Location,isotope data?,Alternate ID,notes
001,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
002,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
003,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
004,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
005,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
006,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
007,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
008,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
009,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
010,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
011,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
012,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
013,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
014,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
015,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
016,BC,2019,female,"unclear, marked early",ENA,"Chicago, IL - Jackson Park",no,NA,
017,BC,2019,male,"unclear, marked early",ENA,"Chicago, IL - Jackson Park",no,NA,
018,BC,2019,male,"unclear, marked early",ENA,"Chicago, IL - Jackson Park",no,NA,
019,BC,2019,female,"unclear, marked early",ENA,"Chicago, IL - Jackson Park",no,NA,
020,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
021,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
022,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
023,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
024,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
025,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
026,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
027,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
028,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
029,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
030,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
031,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
032,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
033,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
034,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
035,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
036,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
037,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
038,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
039,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
040,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
041,BC,2019,female,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
042,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
043,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
044,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
045,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
046,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
047,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
048,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
049,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
050,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
051,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
052,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
053,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
054,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
055,BC,2019,male,late summer,ENA,"Chicago, IL - Jackson Park",no,NA,
056,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
057,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
058,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
059,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
060,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
061,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
062,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
063,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
064,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
065,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
066,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
067,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
068,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
069,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
070,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
071,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
072,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
073,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
074,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
075,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
076,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
077,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
078,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
079,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
080,BC,2019,female,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
081,BC,2019,male,early summer,ENA,"Chicago, IL - Jackson Park",no,NA,
082,AG,2017,female,2017-04-14,ENA,"near Austin, TX",no,T215,
083,AG,2017,male,2017-04-16,ENA,"near Austin, TX",no,T207,
084,AG,2017,male,2017-04-16,ENA,"near Austin, TX",no,T202,
085,AG,2017,male,2017-04-15,ENA,"near Austin, TX",no,T217,
086,AG,2017,female,2017-04-18,ENA,"near Austin, TX",no,T226,
087,AG,2017,female,2017-04-15,ENA,"near Austin, TX",no,T223,
