samp,pop,.sample.id,lat,long
FIJ_36,FIJ,1,-18.178973,177.550159
FIJ_37,FIJ,2,-18.178973,177.550159
FIJ_38,FIJ,3,-18.178973,177.550159
FIJ_39,FIJ,4,-18.178973,177.550159
FIJ_40,FIJ,5,-18.178973,177.550159
GUA_41,GUA,6,13.5453,144.8511
GUA_42,GUA,7,13.5453,144.8511
GUA_43,GUA,8,13.5453,144.8511
GUA_44,GUA,9,13.5453,144.8511
GUA_45,GUA,10,13.5453,144.8511
GUA_F17.10,GUA,11,13.5453,144.8511
GUA_F17.11,GUA,12,13.5453,144.8511
GUA_F17.12,GUA,13,13.5453,144.8511
GUA_F17.4,GUA,14,13.5453,144.8511
GUA_F18.1,GUA,15,13.5453,144.8511
GUA_F18.3,GUA,16,13.5453,144.8511
GUA_F18.5,GUA,17,13.5453,144.8511
GUA_F19.4,GUA,18,13.5453,144.8511
GUA_F19.7,GUA,19,13.5453,144.8511
GUA_F19.8,GUA,20,13.5453,144.8511
GUA_M17.3,GUA,21,13.5453,144.8511
GUA_M17.5,GUA,22,13.5453,144.8511
GUA_M18.1,GUA,23,13.5453,144.8511
GUA_M18.2,GUA,24,13.5453,144.8511
GUA_M18.6,GUA,25,13.5453,144.8511
GUA_M19.2,GUA,26,13.5453,144.8511
GUA_M19.8,GUA,27,13.5453,144.8511
GUA_M20.2,GUA,28,13.5453,144.8511
GUA_M20.4,GUA,29,13.5453,144.8511
HAW_10,HAW,30,20.9997,-156.6581
HAW_11,HAW,31,20.9997,-156.6581
HAW_12,HAW,32,20.9997,-156.6581
HAW_13,HAW,33,20.9997,-156.6581
HAW_14,HAW,34,20.9997,-156.6581
HAW_15,HAW,35,20.9997,-156.6581
HAW_16,HAW,36,20.9997,-156.6581
HAW_9,HAW,37,20.9997,-156.6581
HAW_HAW1,HAW,38,21.3069,-157.8583
HAW_HAW2,HAW,39,21.3069,-157.8583
HAW_HAW3,HAW,40,21.3069,-157.8583
HAW_HAW4,HAW,41,21.3069,-157.8583
NAM_Goleta63,NAM,42,34.43166,-119.88791
NAM_Goleta67,NAM,43,34.43166,-119.88791
NAM_Goleta69,NAM,44,34.43166,-119.88791
NAM_Goleta70,NAM,45,34.43166,-119.88791
NAM_Goleta72,NAM,46,34.43166,-119.88791
NAM_Goleta79,NAM,47,34.43166,-119.88791
NAM_Goleta82,NAM,48,34.43166,-119.88791
NAM_Goleta83,NAM,49,34.43166,-119.88791
NAM_Goleta84,NAM,50,34.43166,-119.88791
NAM_Goleta85,NAM,51,34.43166,-119.88791
NAM_M9.10,NAM,52,19.6706,100.2782
NAM_Mexico10,NAM,53,19.6706,100.2782
NAM_Mexico101,NAM,54,19.6706,100.2782
NAM_Mexico102,NAM,55,19.6706,100.2782
NAM_Mexico106,NAM,56,19.6706,100.2782
NAM_Mexico107,NAM,57,19.6706,100.2782
NAM_Mexico11,NAM,58,19.6706,100.2782
NAM_Mexico110,NAM,59,19.6706,100.2782
NAM_Mexico119,NAM,60,19.6706,100.2782
NAM_Mexico12,NAM,61,19.6706,100.2782
NAM_Mexico120,NAM,62,19.6706,100.2782
NAM_Mexico121,NAM,63,19.6706,100.2782
NAM_Mexico123,NAM,64,19.6706,100.2782
NAM_Mexico127,NAM,65,19.6706,100.2782
NAM_Mexico13,NAM,66,19.6706,100.2782
NAM_Mexico15,NAM,67,19.6706,100.2782
NAM_Mexico17,NAM,68,19.6706,100.2782
NAM_Mexico21,NAM,69,19.6706,100.2782
NAM_Mexico24,NAM,70,19.6706,100.2782
NAM_Mexico26,NAM,71,19.6706,100.2782
NAM_Mexico27,NAM,72,19.6706,100.2782
NAM_Mexico29,NAM,73,19.6706,100.2782
NAM_Mexico30,NAM,74,19.6706,100.2782
NAM_Mexico32,NAM,75,19.6706,100.2782
NAM_Mexico36,NAM,76,19.6706,100.2782
NAM_Mexico40,NAM,77,19.6706,100.2782
NAM_Mexico43,NAM,78,19.6706,100.2782
NAM_Mexico44,NAM,79,19.6706,100.2782
NAM_Mexico47,NAM,80,19.6706,100.2782
NAM_Mexico48,NAM,81,19.6706,100.2782
NAM_Mexico56,NAM,82,19.6706,100.2782
NAM_Mexico57,NAM,83,19.6706,100.2782
NAM_Mexico58,NAM,84,19.6706,100.2782
NAM_Mexico59,NAM,85,19.6706,100.2782
NAM_Mexico60,NAM,86,19.6706,100.2782
NAM_Mexico64,NAM,87,19.6706,100.2782
NAM_Mexico65,NAM,88,19.6706,100.2782
NAM_Mexico67,NAM,89,19.6706,100.2782
NAM_Mexico72,NAM,90,19.6706,100.2782
NAM_Mexico73,NAM,91,19.6706,100.2782
NAM_Mexico75,NAM,92,19.6706,100.2782
NAM_Mexico76,NAM,93,19.6706,100.2782
NAM_Mexico77,NAM,94,19.6706,100.2782
NAM_Mexico81,NAM,95,19.6706,100.2782
NAM_Mexico84,NAM,96,19.6706,100.2782
NAM_Mexico86,NAM,97,19.6706,100.2782
NAM_Mexico88,NAM,98,19.6706,100.2782
NAM_Mexico94,NAM,99,19.6706,100.2782
NAM_Mexico95,NAM,100,19.6706,100.2782
NAM_Mexico97,NAM,101,19.6706,100.2782
NAM_Mexico99,NAM,102,19.6706,100.2782
NAM_Moran14,NAM,103,36.95634,-121.97808
NAM_Moran21,NAM,104,36.95634,-121.97808
NAM_Moran26,NAM,105,36.95634,-121.97808
NAM_Moran27,NAM,106,36.95634,-121.97808
