sampleID,site,batch,batch2,collection date,year,sex,LabID,Sequenced?,O.e. photo,Oe.check,Oe.recheck, body mass,body mass no wings,pre-wash wing weight (mg),wash,post-dry wing weight,weight loss,% weight loss,grinding process,sample weight,LHY Collected Monarchs SIA 1-96 3/20/2012,tray location,delD,LLength,LWidth,LArea,LPerimeter,RLength,RWidth,RArea,RPerimeter,MLength,MWidth,MArea,MPerimeter,aspectratio,roundness,hue,sat,bright,wingwear,wingdam,ID,spec.bright,spec.hue,spec.sat,Notes
83,Ellwood,Sweep 2,Sweep,12/5/09,2009,M,83Goleta EllwoodSweep 2M,1,y,0,0,350.222,291.42,14.016,2C:1M,13.283,0.733,0.052297374,cryogrinder,1.836,LHY Collected Monarchs SIA 1-96 3/20/2012,G11,-173.3064738,5.277,2.73,9.512,12.943,5.224,2.727,9.546,12.874,5.2505,2.7285,9.529,12.9085,1.924317391,0.718630479,22.34963663,0.816475477,0.576768946,2,0,83,12.61141547,556.4666667,0.2717958,
51,Pismo,Sweep 2,Sweep,12/5/09,2009,M,51PismoSweep 2M,1,y,0,0,280.904,234.42,11.299,2C:1M,10.947,0.352,0.031153199,cryogrinder,1.709,LHY Collected Monarchs SIA 1-96 3/20/2012,E3,-162.7990103,5.208,2.681,9.21,12.624,5.181,2.707,9.211,12.702,5.1945,2.694,9.2105,12.663,1.928173719,0.721804952,25.73146255,0.823332796,0.581391934,2,0,51,14.20012572,552.6111111,0.288834778,
85,Ellwood,Sweep 2,Sweep,12/5/09,2009,M,85Goleta EllwoodSweep 2M,1,y,0,0,228.644,179.57,12.193,2C:1M,11.805,0.388,0.031821537,cryogrinder,1.835,LHY Collected Monarchs SIA 1-96 3/20/2012,H1,-161.8563764,5.303,2.757,9.7,12.891,5.26,2.751,9.544,12.896,5.2815,2.754,9.622,12.8935,1.917755991,0.72733346,26.6453324,0.791095788,0.589981234,2.5,0,,,,,"wings available, not yet analyzed for color"
5,Moran,Sweep,Sweep,12/5/09,2009,M,5MoranSweepM,1,y,0,0,336.919,277.71,12.342,2C:1M,11.929,0.413,0.033462972,cryogrinder,1.768,LHY Collected Monarchs SIA 1-96 3/20/2012,A5,-160.5767158,5.252,2.659,9.152,12.737,5.14,2.603,8.872,12.453,5.196,2.631,9.012,12.595,1.974914481,0.713895597,23.16628097,0.833802763,0.577432824,1.5,0,5,10.88852227,558.1333333,0.296607867,
93,Lighthouse,Sweep 1,Sweep,12/5/09,2009,M,93SC LighthouseSweep 1M,1,y,0,0,304.613,254.32,12.308,2C:1M,11.859,0.449,0.036480338,cryogrinder,1.84,LHY Collected Monarchs SIA 1-96 3/20/2012,H9,-160.0502894,5.442,2.724,9.853,13.164,5.404,2.719,9.779,13.135,5.423,2.7215,9.816,13.1495,1.992651112,0.713388222,27.30194038,0.814381094,0.588294338,2,0,93,14.13234942,547.8333333,0.288700458,
117,Lighthouse,Sweep 2,Sweep,12/5/09,2009,M,117SC LighthouseSweep 2M,1,y,0,,235.395,188.21,10.84,2C:1M,10.823,0.017,0.001568266,cryogrinder,1.856,LHY Collected Monarchs SIA 97-129 4/5/2012 Tray II,B9,-158.7476627,5.2,2.631,8.969,12.492,5.14,2.546,8.778,12.431,5.17,2.5885,8.8735,12.4615,1.997295731,0.718065687,28.2550438,0.812613757,0.588464123,2,1,117,10.91318693,553,0.281609857,Filled in right wing slightly
82,Ellwood,Sweep 2,Sweep,12/5/09,2009,F,82Goleta EllwoodSweep 2F,1,y,0,0,298.228,248.29,12.305,2C:1M,11.998,0.307,0.024949208,cryogrinder,1.723,LHY Collected Monarchs SIA 1-96 3/20/2012,G10,-157.0491722,5.14,2.517,8.936,12.497,5.131,2.626,8.974,12.597,5.1355,2.5715,8.955,12.547,1.997083414,0.714818293,28.63629363,0.786904636,0.565537856,2.5,0,82,12.606813,545.5,0.283857917,
41,Pismo,Sweep 1,Sweep,12/5/09,2009,M,41PismoSweep 1M,1,y,0,0,219.14,164.92,13.291,2C:1M,12.705,0.586,0.044089986,cryogrinder,1.82,LHY Collected Monarchs SIA 1-96 3/20/2012,D5,-155.3319212,5.289,2.681,9.34,12.824,5.338,2.709,9.581,13.057,5.3135,2.695,9.4605,12.9405,1.9716141,0.709940317,25.90304876,0.818426623,0.582219613,2.5,0,41,11.29471975,552.5,0.312421938,
43,Pismo,Sweep 1,Sweep,12/5/09,2009,M,43PismoSweep 1M,1,y,0,0,223.382,176.06,10.997,2C:1M,10.542,0.455,0.04137492,cryogrinder,1.683,LHY Collected Monarchs SIA 1-96 3/20/2012,D7,-154.7479638,4.983,2.574,8.735,12.228,5.044,2.613,8.593,12.253,5.0135,2.5935,8.664,12.2405,1.933101986,0.726657886,23.17286312,0.789502486,0.540265649,2,0,43,9.080273923,554.4615385,0.309262423,
38,Pismo,Sweep 1,Sweep,12/5/09,2009,M,38PismoSweep 1M,1,y,0,0,266.415,214.59,11.84,2C:1M,11.273,0.567,0.047888514,cryogrinder,1.726,LHY Collected Monarchs SIA 1-96 3/20/2012,D2,-154.5061188,5.268,2.682,9.328,12.72,5.283,2.662,9.307,12.752,5.2755,2.672,9.3175,12.736,1.974363772,0.72184369,27.57800048,0.836034684,0.606754958,1.5,0,38,12.09360471,550.2083333,0.302233792,
9,Moran,Sweep,Sweep,12/5/09,2009,F,9MoranSweepF,1,y,0,0,236.158,188.25,10.984,2C:1M,10.591,0.393,0.035779315,cryogrinder,2.041,LHY Collected Monarchs SIA 1-96 3/20/2012,A9,-154.3263898,4.965,2.571,8.503,12.307,4.941,2.566,8.514,12.08,4.953,2.5685,8.5085,12.1935,1.928362858,0.71912784,30.19425257,0.753930328,0.585963171,2.5,0,9,10.98540128,550.2777778,0.269952056,
37,Pismo,Sweep 1,Sweep,12/5/09,2009,F,37PismoSweep 1F,1,y,0,0,246.766,195.65,11.956,2C:1M,11.378,0.578,0.048343928,cryogrinder,2.051,LHY Collected Monarchs SIA 1-96 3/20/2012,D1,-153.9574459,5.08,2.638,9.259,12.597,5.03,2.695,9.227,12.563,5.055,2.6665,9.243,12.58,1.895743484,0.733941652,30.43283175,0.722845682,0.618537941,4,2,37,15.7632601,540,0.262463429,Filled in both wings slightly
26,Moran,Sweep,Sweep,12/5/09,2009,M,26MoranSweepM,1,y,0,0,273.466,220.9,13.161,2C:1M,12.595,0.566,0.043005851,cryogrinder,1.975,LHY Collected Monarchs SIA 1-96 3/20/2012,C2,-153.7675057,5.467,2.787,10.198,13.245,5.395,2.796,10.194,13.31,5.431,2.7915,10.196,13.2775,1.945548988,0.726786866,20.2450774,0.795501989,0.524634496,1.5,0,26,9.549029357,558.1428571,0.291297714,
