Sample_ID,pop,migration_distance
Ellwood83,western,1000
Pismo51,western,1000
Ellwood85,western,1000
Moran5,western,1000
Lighthouse93,western,1000
Lighthouse117,western,1000
Ellwood82,western,1000
Pismo41,western,1000
Pismo43,western,1000
Pismo38,western,1000
Moran9,western,1000
Pismo37,western,1000
Moran26,western,1000
Moran6,western,1000
Pismo53,western,1000
Lighthouse115,western,1000
Lighthouse104,western,1000
Ellwood69,western,1000
Ellwood79,western,1000
Moran14,western,1000
Ellwood70,western,200
Ellwood67,western,200
Ellwood63,western,200
Pismo54,western,200
Pismo33,western,200
Lighthouse101,western,200
Moran28,western,200
Ellwood72,western,200
Lighthouse92,western,200
Lighthouse107,western,200
Moran7,western,200
Pismo52,western,200
Pismo49,western,200
Ellwood84,western,200
Moran27,western,200
Lighthouse95,western,200
Lighthouse108,western,200
Pismo44,western,200
Lighthouse98,western,200
Moran21,western,200
Mexico30,eastern,3519.088687
Mexico21,eastern,3574.190183
Mexico26,eastern,3550.65034
Mexico10,eastern,3573.84091
Mexico59,eastern,3331.537545
Mexico57,eastern,3427.328367
Mexico94,eastern,3491.049943
Mexico24,eastern,3424.374532
Mexico58,eastern,3419.360909
Mexico121,eastern,3276.897729
Mexico11,eastern,3984.050428
Mexico102,eastern,3149.963345
Mexico13,eastern,1547.705662
Mexico67,eastern,2626.889748
Mexico56,eastern,3401.596469
Mexico99,eastern,3823.045774
Mexico12,eastern,1596.916209
Mexico84,eastern,1567.20282
Mexico60,eastern,3907.195233
Mexico97,eastern,2690.925977
Mexico119,eastern,2672.137885
Mexico65,eastern,1949.280738
Mexico72,eastern,2663.610365
Mexico101,eastern,1724.512006
Mexico44,eastern,2702.866344
Mexico43,eastern,2711.351804
Mexico76,eastern,3034.018097
Mexico29,eastern,3186.125329
Mexico86,eastern,3037.280461
Mexico15,eastern,1806.24587
Mexico17,eastern,2820.769816
Mexico64,eastern,2807.330455
Mexico47,eastern,2627.860729
Mexico77,eastern,2596.231127
Mexico81,eastern,2754.617173
Mexico107,eastern,2799.292148
Mexico106,eastern,2570.655967
Mexico27,eastern,1776.701568
Mexico110,eastern,1675.438308
Mexico127,eastern,3186.568209
Mexico40,eastern,3012.571028
Mexico75,eastern,2935.830032
Mexico123,eastern,2784.555842
Mexico32,eastern,3216.892828
Mexico73,eastern,2654.76869
Mexico120,eastern,2639.764282
Mexico48,eastern,3091.654429
Mexico95,eastern,2952.330561
Mexico36,eastern,3141.425402
Mexico88,eastern,3054.936438
