Plate MFMB2,,,,,
Well,ID,Pop,Well,ID,Pop
A01,6,Samoa2016,A07,133,Norfolk
B01,8,Samoa2016,B07,136,Norfolk
C01,9,Samoa2016,C07,158,Norfolk
D01,10,Samoa2016,D07,M4.2,NZ2007
E01,11,Samoa2016,E07,M4.6,NZ2007
F01,12,Samoa2016,F07,M4.7,NZ2007
G01,13,Samoa2016,G07,M4.10,NZ2007
H01,14,Samoa2016,H07,M4.12,NZ2007
A02,15,Samoa2016,A08,M4.13,NZ2007
B02,16,Samoa2016,B08,F17.10,Guam
C02,M2.1,Samoa2007,C08,F17.11,Guam
D02,M2.2,Samoa2007,D08,F17.12,Guam
E02,M2.3,Samoa2007,E08,F17.4,Guam
F02,M2.7,Samoa2007,F08,F18.1,Guam
G02,M2.11,Samoa2007,G08,F18.3,Guam
H02,M2.13,Samoa2007,H08,F18.5,Guam
A03,M3.4,Samoa2007,A09,F19.4,Guam
B03,M3.10,Samoa2007,B09,F19.7,Guam
C03,M1.1,Samoa2006,C09,F19.8,Guam
D03,M1.3,Samoa2006,D09,M17.3,Guam
E03,M1.6,Samoa2006,E09,M17.5,Guam
F03,M12.4,NewCal2010,F09,M18.1,Guam
G03,M12.6,NewCal2010,G09,M18.2,Guam
H03,M12.9,NewCal2010,H09,M18.6,Guam
A04,M12.10,NewCal2010,A10,M19.2,Guam
B04,M5.1,NewCal2008,B10,M19.8,Guam
C04,M5.2,NewCal2008,C10,M20.2,Guam
D04,M5.3,NewCal2008,D10,M20.4,Guam
E04,M5.4,NewCal2008,E10,F25.2,Rota
F04,M5.5,NewCal2008,F10,F26.1,Rota
G04,M5.6,NewCal2008,G10,F26.2,Rota
H04,M5.7,NewCal2008,H10,F26.3,Rota
A05,M5.9,NewCal2008,A11,F26.4,Rota
B05,M5.10,NewCal2008,B11,F26.5,Rota
C05,M5.13,NewCal2008,C11,F26.6,Rota
D05,M5.18,NewCal2008,D11,F26.7,Rota
E05,M5.19,NewCal2008,E11,F26.8,Rota
F05,M5.21,NewCal2008,F11,M25.6,Rota
G05,M5.25,NewCal2008,G11,M26.1,Rota
H05,M13.1,NewCal1990,H11,M26.2,Rota
A06,M13.3,NewCal1990,A12,M26.3,Rota
B06,M13.4,NewCal1990,B12,M26.4,Rota
C06,M13.2,NewCal1991,C12,M26.6,Rota
D06,146,Norfolk,D12,M26.7,Rota
E06,147,Norfolk,E12,4,Saipan
F06,148,Norfolk,F12,5,Saipan
G06,160,Norfolk,G12,M4.18,NZR2007
H06,130,Norfolk,H12,M9.10,ENA
