region	chr	midPos	Nsites
(2616,12056)(10680,54448)(10000,60000)	DPSCF300001	35000	9442	0.029935
(3695,13087)(20000,69415)(20000,70000)	DPSCF300001	45000	9394	0.028976
(6137,14863)(30000,73752)(30000,80000)	DPSCF300001	55000	8728	0.027535
(7405,16477)(40000,89999)(40000,90000)	DPSCF300001	65000	9074	0.028762
(8663,17538)(50000,97458)(50000,100000)	DPSCF300001	75000	8877	0.026987
(12057,19610)(64782,106304)(60000,110000)	DPSCF300001	85000	7555	0.029765
(13088,20693)(71369,119270)(70000,120000)	DPSCF300001	95000	7607	0.029595
(14864,21526)(80192,129999)(80000,130000)	DPSCF300001	105000	6664	0.031192
(16478,24077)(90000,139999)(90000,140000)	DPSCF300001	115000	7601	0.026697
(17539,24516)(102297,143387)(100000,150000)	DPSCF300001	125000	6979	0.026537
(19611,26290)(113026,157259)(110000,160000)	DPSCF300001	135000	6681	0.025538
(20694,28020)(120006,169325)(120000,170000)	DPSCF300001	145000	7328	0.025441
(21527,29064)(130000,175423)(130000,180000)	DPSCF300001	155000	7539	0.025090
(24078,30276)(140000,185970)(140000,190000)	DPSCF300001	165000	6200	0.028372
(24517,31231)(150842,197786)(150000,200000)	DPSCF300001	175000	6716	0.028016
(26291,32295)(164159,206166)(160000,210000)	DPSCF300001	185000	6006	0.027205
(28021,35195)(170361,219999)(170000,220000)	DPSCF300001	195000	7176	0.029927
(29065,36311)(184211,229405)(180000,230000)	DPSCF300001	205000	7248	0.030881
(30277,38222)(192921,239999)(190000,240000)	DPSCF300001	215000	7947	0.028671
(31232,39247)(200340,241790)(200000,250000)	DPSCF300001	225000	8017	0.029921
(32296,41451)(210248,259936)(210000,260000)	DPSCF300001	235000	9157	0.028412
(35196,42686)(220000,267942)(220000,270000)	DPSCF300001	245000	7492	0.026773
(36312,46335)(230865,276132)(230000,280000)	DPSCF300001	255000	10025	0.025225
(38223,48676)(240000,284491)(240000,290000)	DPSCF300001	265000	10455	0.023467
(39248,49675)(251205,293147)(250000,300000)	DPSCF300001	275000	10429	0.023094
(41452,50777)(265350,307921)(260000,310000)	DPSCF300001	285000	9327	0.023693
(42687,53298)(270262,318833)(270000,320000)	DPSCF300001	295000	10613	0.025124
(46336,55660)(280279,325046)(280000,330000)	DPSCF300001	305000	9326	0.027898
(48677,58705)(291579,339108)(290000,340000)	DPSCF300001	315000	10030	0.027815
(49676,60670)(303726,348105)(300000,350000)	DPSCF300001	325000	10996	0.027103
(50778,61296)(310026,358274)(310000,360000)	DPSCF300001	335000	10520	0.027091
(53299,63477)(322444,368061)(320000,370000)	DPSCF300001	345000	10180	0.026290
(55661,63724)(332322,376637)(330000,380000)	DPSCF300001	355000	8065	0.024837
(58706,66258)(341272,389999)(340000,390000)	DPSCF300001	365000	7554	0.024591
(60671,67400)(350506,399101)(350000,400000)	DPSCF300001	375000	6731	0.024239
(61297,70119)(360724,409857)(360000,410000)	DPSCF300001	385000	8824	0.025627
(63478,73427)(373661,416257)(370000,420000)	DPSCF300001	395000	9951	0.025495
(63725,73951)(380271,429007)(380000,430000)	DPSCF300001	405000	10228	0.025714
(66259,74935)(390000,438079)(390000,440000)	DPSCF300001	415000	8678	0.026365
(67401,77132)(403581,447047)(400000,450000)	DPSCF300001	425000	9733	0.025722
(70120,77157)(410545,455269)(410000,460000)	DPSCF300001	435000	7039	0.024626
(73428,77590)(426555,469468)(420000,470000)	DPSCF300001	445000	4164	0.024325
(73952,78291)(431790,478317)(430000,480000)	DPSCF300001	455000	4341	0.023521
(74936,79359)(440106,485066)(440000,490000)	DPSCF300001	465000	4425	0.023449
(77133,81250)(451035,499999)(450000,500000)	DPSCF300001	475000	4119	0.026649
(77158,84283)(464056,509849)(460000,510000)	DPSCF300001	485000	7127	0.026241
(77591,84738)(471655,519962)(470000,520000)	DPSCF300001	495000	7149	0.026024
(78292,87007)(481402,529260)(480000,530000)	DPSCF300001	505000	8717	0.026977
(79360,87205)(491883,536601)(490000,540000)	DPSCF300001	515000	7847	0.027316
(81251,87205)(500000,536601)(500000,550000)	DPSCF300001	525000	5956	0.026784
(84284,87608)(512187,557327)(510000,560000)	DPSCF300001	535000	3326	0.027770
(84739,90949)(520017,569984)(520000,570000)	DPSCF300001	545000	6212	0.031256
(87008,90969)(535449,571787)(530000,580000)	DPSCF300001	555000	3963	0.034808
(87206,91860)(554445,589886)(540000,590000)	DPSCF300001	565000	4656	0.030933
(87206,94609)(554445,599999)(550000,600000)	DPSCF300001	575000	7405	0.027662
(87609,97629)(560318,608791)(560000,610000)	DPSCF300001	585000	10022	0.028084
(90950,98431)(571768,617512)(570000,620000)	DPSCF300001	595000	7483	0.025599
(90970,100916)(588996,628757)(580000,630000)	DPSCF300001	605000	9948	0.026766
(91861,100936)(592955,637233)(590000,640000)	DPSCF300001	615000	9077	0.027293
(94610,102163)(600000,647834)(600000,650000)	DPSCF300001	625000	7555	0.028019
(97630,102457)(616705,650682)(610000,660000)	DPSCF300001	635000	4829	0.027227
(98432,102619)(621241,660477)(620000,670000)	DPSCF300001	645000	4189	0.027822
(100917,102835)(637214,671741)(630000,680000)	DPSCF300001	655000	1920	0.023780
(100937,104222)(642951,688112)(640000,690000)	DPSCF300001	665000	3287	0.023421
(102164,105804)(650389,698848)(650000,700000)	DPSCF300001	675000	3642	0.022184
(102458,106920)(660316,707654)(660000,710000)	DPSCF300001	685000	4464	0.026306
(102620,107874)(671503,719999)(670000,720000)	DPSCF300001	695000	5256	0.025268
(102836,109287)(680935,728604)(680000,730000)	DPSCF300001	705000	6453	0.025564
(104223,110722)(690538,738332)(690000,740000)	DPSCF300001	715000	6501	0.026800
(105805,112233)(700847,749999)(700000,750000)	DPSCF300001	725000	6430	0.029190
(106921,115034)(714442,753151)(710000,760000)	DPSCF300001	735000	8115	0.028383
(107875,116512)(720000,768396)(720000,770000)	DPSCF300001	745000	8639	0.028668
(109288,118207)(731802,777388)(730000,780000)	DPSCF300001	755000	8921	0.030432
(110723,120279)(742355,787097)(740000,790000)	DPSCF300001	765000	9558	0.028782
(112234,121964)(750000,798949)(750000,800000)	DPSCF300001	775000	9732	0.027396
(115035,122544)(762601,808705)(760000,810000)	DPSCF300001	785000	7511	0.026281
(116513,123105)(771049,814920)(770000,820000)	DPSCF300001	795000	6594	0.026530
(118208,123422)(781323,827592)(780000,830000)	DPSCF300001	805000	5216	0.022558
(120280,125081)(790667,839987)(790000,840000)	DPSCF300001	815000	4803	0.023514
(121965,128431)(800576,849999)(800000,850000)	DPSCF300001	825000	6468	0.025085
(122545,129032)(812451,850883)(810000,860000)	DPSCF300001	835000	6489	0.024784
(123106,130914)(820006,868520)(820000,870000)	DPSCF300001	845000	7810	0.025341
(123423,131799)(833291,879203)(830000,880000)	DPSCF300001	855000	8378	0.025343
(125082,133132)(840011,889627)(840000,890000)	DPSCF300001	865000	8052	0.029505
(128432,134348)(850000,893817)(850000,900000)	DPSCF300001	875000	5918	0.032650
(129033,136258)(862046,909660)(860000,910000)	DPSCF300001	885000	7227	0.032446
(130915,136942)(870675,913601)(870000,920000)	DPSCF300001	895000	6029	0.033514
(131800,138061)(881000,927666)(880000,930000)	DPSCF300001	905000	6263	0.033186
(133133,138119)(890468,930082)(890000,940000)	DPSCF300001	915000	4988	0.027566
(134349,139513)(901179,949587)(900000,950000)	DPSCF300001	925000	5166	0.026684
(136259,141021)(912324,953980)(910000,960000)	DPSCF300001	935000	4764	0.026903
(136943,143411)(926060,969767)(920000,970000)	DPSCF300001	945000	6470	0.027968
(138062,143473)(930020,979362)(930000,980000)	DPSCF300001	955000	5413	0.028725
(138120,147016)(940938,989782)(940000,990000)	DPSCF300001	965000	8898	0.028028
(139514,148538)(950273,999999)(950000,1000000)	DPSCF300001	975000	9026	0.027381
(141022,150290)(961892,1009999)(960000,1010000)	DPSCF300001	985000	9270	0.027320
(143412,153808)(971495,1019669)(970000,1020000)	DPSCF300001	995000	10398	0.027555
(143474,158773)(980290,1028992)(980000,1030000)	DPSCF300001	1005000	15301	0.028451
(147017,161788)(990728,1039999)(990000,1040000)	DPSCF300001	1015000	14773	0.031428
(148539,163884)(1000000,1049175)(1000000,1050000)	DPSCF300001	1025000	15347	0.030928
(150291,164200)(1010000,1052976)(1010000,1060000)	DPSCF300001	1035000	13911	0.031484
(153809,166113)(1021187,1069999)(1020000,1070000)	DPSCF300001	1045000	12306	0.030823
(158774,167936)(1030537,1077645)(1030000,1080000)	DPSCF300001	1055000	9164	0.029827
(161789,170585)(1040000,1086836)(1040000,1090000)	DPSCF300001	1065000	8798	0.024416
(163885,172362)(1051054,1098826)(1050000,1100000)	DPSCF300001	1075000	8479	0.024563
(164201,172552)(1063298,1108110)(1060000,1110000)	DPSCF300001	1085000	8353	0.024718
(166114,173818)(1070000,1114818)(1070000,1120000)	DPSCF300001	1095000	7706	0.025489
(167937,175391)(1081141,1128830)(1080000,1130000)	DPSCF300001	1105000	7456	0.027479
(170586,177521)(1095385,1139516)(1090000,1140000)	DPSCF300001	1115000	6937	0.026486
(172363,178747)(1100400,1145848)(1100000,1150000)	DPSCF300001	1125000	6386	0.028101
(172553,181776)(1112406,1159130)(1110000,1160000)	DPSCF300001	1135000	9225	0.030666
(173819,184525)(1121608,1167977)(1120000,1170000)	DPSCF300001	1145000	10708	0.030635
(175392,185546)(1130699,1176866)(1130000,1180000)	DPSCF300001	1155000	10156	0.029900
(177522,185676)(1144567,1189385)(1140000,1190000)	DPSCF300001	1165000	8156	0.031074
(178748,186329)(1152488,1199999)(1150000,1200000)	DPSCF300001	1175000	7583	0.030661
(181777,187854)(1162601,1209031)(1160000,1210000)	DPSCF300001	1185000	6079	0.027513
(184526,190226)(1175107,1218117)(1170000,1220000)	DPSCF300001	1195000	5702	0.027033
(185547,191113)(1189249,1227857)(1180000,1230000)	DPSCF300001	1205000	5568	0.026892
(185677,191827)(1197806,1239399)(1190000,1240000)	DPSCF300001	1215000	6152	0.026300
(186330,192089)(1200000,1246087)(1200000,1250000)	DPSCF300001	1225000	5761	0.026565
(187855,192496)(1210135,1254631)(1210000,1260000)	DPSCF300001	1235000	4643	0.025005
(190227,192496)(1222653,1254631)(1220000,1270000)	DPSCF300001	1245000	2271	0.023033
(191114,192870)(1230922,1273314)(1230000,1280000)	DPSCF300001	1255000	1758	0.024354
(191828,194953)(1244555,1286688)(1240000,1290000)	DPSCF300001	1265000	3127	0.025857
(192090,196348)(1253142,1296225)(1250000,1300000)	DPSCF300001	1275000	4260	0.026398
(192497,198111)(1272721,1309999)(1260000,1310000)	DPSCF300001	1285000	5616	0.026459
(192497,201296)(1272721,1319853)(1270000,1320000)	DPSCF300001	1295000	8801	0.026221
(192871,202715)(1283793,1328008)(1280000,1330000)	DPSCF300001	1305000	9846	0.026382
(194954,203734)(1292780,1339999)(1290000,1340000)	DPSCF300001	1315000	8782	0.027134
(196349,204941)(1304962,1349999)(1300000,1350000)	DPSCF300001	1325000	8594	0.028552
